Chromosome,Strand,Start,End,Methylation_Percentage,GeneName,Tissue,Length,Median_CG_Content
chr1,+,8197126,8197127,0,Random183,brain,1180,60.0
chr1,-,8197127,8197128,90,Random183,brain,1180,60.0
chr1,+,8197258,8197259,100,Random183,brain,1180,60.0
chr1,-,8197259,8197260,100,Random183,brain,1180,60.0
chr1,+,8197289,8197290,100,Random183,brain,1180,60.0
chr1,-,8197290,8197291,100,Random183,brain,1180,60.0
chr1,+,8197338,8197339,80,Random183,brain,1180,60.0
chr1,-,8197339,8197340,91,Random183,brain,1180,60.0
chr1,+,8197548,8197549,56,Random183,brain,1180,60.0
chr1,-,8197549,8197550,85,Random183,brain,1180,60.0
chr1,+,8197599,8197600,52,Random183,brain,1180,60.0
chr1,-,8197600,8197601,25,Random183,brain,1180,60.0
chr1,+,8197620,8197621,94,Random183,brain,1180,60.0
chr1,-,8197621,8197622,100,Random183,brain,1180,60.0
chr1,+,8197707,8197708,9,Random183,brain,1180,60.0
chr1,-,8197708,8197709,0,Random183,brain,1180,60.0
chr1,+,8197838,8197839,0,Random183,brain,1180,60.0
chr1,-,8197839,8197840,20,Random183,brain,1180,60.0
chr1,+,8197858,8197859,0,Random183,brain,1180,60.0
chr1,-,8197859,8197860,33,Random183,brain,1180,60.0
chr1,+,8197885,8197886,0,Random183,brain,1180,60.0
chr1,-,8197886,8197887,33,Random183,brain,1180,60.0
chr1,+,8197915,8197916,0,Random183,brain,1180,60.0
chr1,-,8197916,8197917,0,Random183,brain,1180,60.0
chr1,+,8197926,8197927,0,Random183,brain,1180,60.0
chr1,-,8197927,8197928,33,Random183,brain,1180,60.0
chr1,+,8197945,8197946,0,Random183,brain,1180,60.0
chr1,-,8197946,8197947,20,Random183,brain,1180,60.0
chr1,+,8197966,8197967,0,Random183,brain,1180,60.0
chr1,-,8197967,8197968,0,Random183,brain,1180,60.0
chr1,+,8197976,8197977,0,Random183,brain,1180,60.0
chr1,-,8197977,8197978,25,Random183,brain,1180,60.0
chr1,+,8198002,8198003,0,Random183,brain,1180,60.0
chr1,-,8198003,8198004,0,Random183,brain,1180,60.0
chr1,+,8198008,8198009,0,Random183,brain,1180,60.0
chr1,-,8198009,8198010,100,Random183,brain,1180,60.0
chr1,+,8198016,8198017,0,Random183,brain,1180,60.0
chr1,-,8198017,8198018,0,Random183,brain,1180,60.0
chr1,-,8198053,8198054,50,Random183,brain,1180,60.0
chr1,+,8198086,8198087,0,Random183,brain,1180,60.0
chr1,-,8198087,8198088,33,Random183,brain,1180,60.0
chr1,+,8198118,8198119,100,Random183,brain,1180,60.0
chr1,-,8198119,8198120,66,Random183,brain,1180,60.0
chr1,+,8198177,8198178,50,Random183,brain,1180,60.0
chr1,-,8198178,8198179,87,Random183,brain,1180,60.0
chr1,+,8198199,8198200,100,Random183,brain,1180,60.0
chr1,-,8198200,8198201,100,Random183,brain,1180,60.0
chr1,+,11908173,11908174,0,RNU5E-1,brain,118,40.0
chr1,-,11908174,11908175,0,RNU5E-1,brain,118,40.0
chr1,+,11908186,11908187,9,RNU5E-1,brain,118,40.0
chr1,-,11908187,11908188,0,RNU5E-1,brain,118,40.0
chr1,+,11908206,11908207,0,RNU5E-1,brain,118,40.0
chr1,-,11908207,11908208,0,RNU5E-1,brain,118,40.0
chr1,+,11908218,11908219,0,RNU5E-1,brain,118,40.0
chr1,-,11908219,11908220,0,RNU5E-1,brain,118,40.0
chr1,+,11908254,11908255,0,RNU5E-1,brain,118,40.0
chr1,-,11908255,11908256,0,RNU5E-1,brain,118,40.0
chr1,+,16535287,16535288,85,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,-,16535288,16535289,100,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,+,16535294,16535295,100,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,-,16535295,16535296,100,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,+,16535300,16535301,85,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,-,16535301,16535302,100,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,+,16535305,16535306,83,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,-,16535306,16535307,100,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,+,16535307,16535308,50,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,-,16535308,16535309,100,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,+,16535310,16535311,85,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,-,16535311,16535312,100,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,+,16535319,16535320,88,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,-,16535320,16535321,100,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,+,16535322,16535323,44,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,-,16535323,16535324,66,tRNA-Glu-TTC-4-1,brain,71,60.0
chr1,+,16545947,16545948,0,TRG1,brain,70,60.0
chr1,-,16545948,16545949,0,TRG1,brain,70,60.0
chr1,+,16545960,16545961,0,TRG1,brain,70,60.0
chr1,-,16545961,16545962,0,TRG1,brain,70,60.0
chr1,+,16545969,16545970,7,TRG1,brain,70,60.0
chr1,-,16545970,16545971,0,TRG1,brain,70,60.0
chr1,+,16545971,16545972,0,TRG1,brain,70,60.0
chr1,-,16545972,16545973,0,TRG1,brain,70,60.0
chr1,+,16545980,16545981,6,TRG1,brain,70,60.0
chr1,-,16545981,16545982,0,TRG1,brain,70,60.0
chr1,+,16678279,16678280,26,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,-,16678280,16678281,50,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,+,16678292,16678293,11,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,-,16678293,16678294,0,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,+,16678301,16678302,28,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,-,16678302,16678303,50,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,+,16678312,16678313,38,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,-,16678313,16678314,50,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,+,16678338,16678339,20,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,-,16678339,16678340,50,tRNA-Gly-CCC-4-1,brain,70,60.0
chr1,+,16727311,16727312,53,TRG-CCC5-1,brain,70,60.0
chr1,-,16727312,16727313,48,TRG-CCC5-1,brain,70,60.0
chr1,+,16727320,16727321,50,TRG-CCC5-1,brain,70,60.0
chr1,-,16727321,16727322,42,TRG-CCC5-1,brain,70,60.0
chr1,+,16727331,16727332,33,TRG-CCC5-1,brain,70,60.0
chr1,-,16727332,16727333,28,TRG-CCC5-1,brain,70,60.0
chr1,+,16727344,16727345,54,TRG-CCC5-1,brain,70,60.0
chr1,-,16727345,16727346,48,TRG-CCC5-1,brain,70,60.0
chr1,+,16872608,16872609,66,TRE-TTC3-1,brain,71,60.0
chr1,-,16872609,16872610,100,TRE-TTC3-1,brain,71,60.0
chr1,+,16872611,16872612,66,TRE-TTC3-1,brain,71,60.0
