Chromosome,Strand,Start,End,Methylation_Percentage,GeneName,Tissue,Length,Median_CG_Content
Chromosome,Strand,Start,End,Methylation_Percentage,GeneName,Tissue,Length,Median_CG_Content
Chromosome,Strand,Start,End,Methylation_Percentage,GeneName,Tissue,Length,Median_CG_Content
Chromosome,Strand,Start,End,Methylation_Percentage,GeneName,Tissue,Length,Median_CG_Content
Chromosome,Strand,Start,End,Methylation_Percentage,GeneName,Tissue,Length,Median_CG_Content
Chromosome,Strand,Start,End,Methylation_Percentage,GeneName,Tissue,Length,Median_CG_Content
chr1,+,11908154,11908155,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908159,11908160,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908163,11908164,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908165,11908166,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908168,11908169,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908182,11908183,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908188,11908189,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908189,11908190,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908195,11908196,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908200,11908201,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908209,11908210,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908210,11908211,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908212,11908213,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908214,11908215,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908221,11908222,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908223,11908224,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908225,11908226,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908227,11908228,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908235,11908236,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908236,11908237,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908245,11908246,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908247,11908248,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908248,11908249,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908249,11908250,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908250,11908251,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908253,11908254,7.0,RNU5E-1,epithelium,118,40.0
